year,Chadiza,Chasefu,Chibombo,Chikankanta,Chilanga,Chipangali,Chipata,Chirundu,Chisamba,Chitambo,Choma,Chongwe,Gwembe,Itezhi tezhi,Kabwe,Kafue,Kalabo,Kalomo,Kaoma,Kapiri Mposhi,Kasenengwa,Katete,Kazungula,Lavushimanda,Limulunga,Livingstone,Luampa,Luangwa,Luano,Lukulu,Lumezi,Lundazi,Lusaka,Lusangazi,Mambwe,Mazabuka,Mitete,Mkushi,Mongu,Monze,Mpongwe,Mulobezi,Mumbwa,Mwandi,Nalolo,Namwala,Ngabwe,Nkeyema,Nyimba,Pemba,Petauke,Rufunsa,Senanga,Serenje,Sesheke,Shangombo,Shibuyunji,Siavonga,Sikongo,Sinazongwe,Sinda,Sioma,Vubwi,Zimba,Average
1983,0.7056773468240585,1.419497659053339,2.323244354248083,1.734943225245532,2.301634171931635,1.502058495178843,1.864525450100022,2.165558274103117,2.369796474813284,2.269010257624055,2.728723404255319,2.898,0.45,1.607569025186618,1.933745281870206,1.7547,1.172068965517241,2.126925,0.5957878602084611,2.023420438248819,1.483573913419078,1.566235728676964,1.594326142646055,2.321067746686509,0.7046842564048793,1.160590277777778,0.5288723976544897,1.836564487632509,2.022005721015568,0.8154859967051071,1.663819232806665,1.536510657201269,2.404228719202529,,1.002681895626933,1.714285714285714,1.26156469209842,2.261001410437236,0.6418372379778051,3.202846975088968,1.58569593917063,0.5190111863372887,1.799606643356643,0.8150532633886822,0.548634239492137,1.452428416092787,1.869156536977002,0.9246831086191034,1.675095136439577,2.946106455815174,0.7863419908918879,2.247475067815113,0.4354235184610611,2.272354694485842,0.6214490311710194,,2.243850971468581,1.034337852171894,1.009827157323312,1.76873765808133,1.187918552785753,0.5390562191046072,1.339632799012905,1.629882138931603,
1984,0.8619086214638528,1.263320162571013,1.575431599142375,1.821148999818474,1.059923126616787,1.576208099701,1.906057296538821,1.001339267675772,1.448489216233022,2.452713135889709,1.810604418507712,0.008137770708430197,0.7225274725274725,1.453205303209237,2.637551644122475,1.558468986604543,0.7848471615720524,2.138307048150732,2.179850909888182,2.586900593733271,1.559386912653294,1.64755853675895,1.335386508606903,2.007919985317474,0.6903905309973639,0.6815070835368833,1.409969213578916,6.446573924296344,2.099335283676265,0.8855735294117648,1.349870465425388,1.303969918064098,0.6776987172083201,,1.121769514209479,2.095804925156929,1.278057546473121,2.452708178801484,0.5796822563370225,1.069858879722102,1.470613996670132,0.4662991701007794,2.065388333870448,0.6468536891103325,0.46911519843419,0.9586436170212765,2.550629749778464,2.228420690345463,1.586402193050881,1.470976659931115,1.161991803563366,3.954080028516935,0.3348129061169617,2.452715205934023,0.6274374079528718,,1.730818010803628,1.096921792200284,0.7220702218409392,1.352216903405629,1.412015889973526,0.4978306930750854,1.433116999497418,1.388989026388195,
1985,0.7938825718420508,1.418306762537586,1.749162252716509,3.331573422289126,2.046854347264894,5.147069853640787,3.288324955240325,2.795870015810476,1.700828107535779,2.250465019577421,2.32277701863354,1.152404844290658,1.622526165556613,2.489806652250028,2.153571428571428,3.717760782058654,0.6521739130434783,2.796809451751833,2.082462452549926,2.295270374137524,5.241859520887834,1.031509180044218,1.63018406966893,2.107913259111769,0.7237917958461472,0.680112055641422,1.573679215149325,3.962634857356422,2.1396746616529,0.7363350785340315,5.008270151475858,1.507309219839718,2.260337221700874,,7.70789283128168,2.927779295154185,1.248499073691619,2.670680628272252,0.7166772151898734,1.5748403783624,4.280043119587471,0.5746812323825484,2.242588972498192,0.3859657372274519,0.7828159219375955,1.917788896564911,1.765355461637992,2.276067079272483,1.368900968039336,1.979852179546366,1.551497551361682,2.874718322003477,0.8631525076765608,2.074986010072748,0.2211556886227545,,2.446462560472448,2.560921885341242,0.6719108164220715,2.027773756524285,1.283749354060471,0.5055033702335413,2.158483630993715,1.708067315528768,
1986,0.9778830480847597,0.9281536587542896,1.66945315590986,3.091372222212598,2.572775213088334,1.753049200730114,2.407474275261059,1.396042886954773,1.588947247130455,2.563229041026742,3.990191096955781,0.6754871447902571,1.868186176588094,1.683410581677348,2.343041735974595,1.800233798195242,0.6114089347079038,2.79766393442623,2.499939033457249,2.832405081180059,1.719675747973744,1.332639019792649,2.185407179602563,2.018017075094483,0.7125012682549143,1.686799814212727,1.743552766962012,1.800284810126582,2.914507670530149,0.7917911530094272,0.7291922229274214,0.6406147248034311,1.16124555957592,,0.8514371670156651,4.441375270597224,1.151250610249493,4.128900387153327,0.6675278514588859,3.432489130434782,1.470501849416169,0.584468526154832,1.617586487114,0.9367007248293422,0.6456299380478681,1.736587611370386,2.099773454328238,2.260952668780384,1.151774257856392,3.734487810299731,1.37063440090044,1.364845015748036,0.6091916522191314,1.909415971394517,0.5164205457463885,,4.082457527436924,1.837752247838151,0.6285803600577509,3.096228067893126,1.351070127238688,0.5701197963137874,1.759950301168002,2.226281091740616,
1987,1.250732363661137,1.786299786942172,2.005392615279299,2.017159909858901,1.477368414562382,2.00334889031948,2.176621851461894,0.4410653521308305,1.690730024221264,2.751965059536531,1.594205239374695,0.0893609022556391,0.02655920644761315,1.047487524924774,3.012718391732601,0.4101061168881064,0.7518461538461538,1.614292451750269,1.128286290322581,3.046763065623292,1.994512558693912,1.61086682393309,1.039862335127488,2.390075192969362,0.6056133342683447,0.5720600858369099,0.8303200151337596,2.09714889123548,2.431220142482911,0.6279164313946922,1.331337755728123,1.017379912663755,0.8076521138648047,,1.764627922918729,3.064031761080825,1.143170030543845,3.136959359083192,0.5929629629629629,0.8097322583426748,1.307779342516443,0.3844502502689683,1.373730218538056,0.4284510436849185,0.5122469252221086,0.783927235634138,2.190792163747795,1.394086990857633,1.406815038016581,1.234528688843465,1.901772559637739,1.319879506687387,0.4142037186742118,2.591194214876033,0.3479869625950644,,2.058710175211532,1.201505035408378,0.7032306243678791,0.9337837753892481,1.751981736196518,0.3773151158133976,1.757246278000995,1.078210962449783,
1988,1.994972547956348,1.705147618524205,2.705073008366555,4.132972874953884,3.200887269369409,1.841574300907399,1.297898675334001,1.6676865140438,2.376833466889062,3.448975446678326,3.730022557828331,1.306214788732394,3.108276022304833,2.108748011912707,3.260668067637572,1.635867501854786,1.204405451448041,3.755634123371527,3.584214415348717,3.554410180173352,1.869299908484201,2.544944997952777,3.089164555930707,3.264003350793651,2.284183153120731,2.54640756302521,2.470986004277523,2.913459677419355,3.267100798314489,2.266998468606432,1.716619374866582,1.083337870023818,2.044453851753984,,2.590605023493242,5.940660087364504,1.590658938376634,4.332636162565662,2.293930348258707,3.338626956674679,2.033224329117914,0.7773511031108141,2.433998470948012,1.30344904247082,1.671899613395885,1.845989314926008,2.911471623224944,2.959595739743457,1.720439027998669,3.550569825714035,1.395372786404482,2.29125143018179,0.9163386428103862,3.079965100671141,0.6070199479618387,,4.204719844998546,4.203890149971793,1.537781370220685,3.468091772055465,1.987301191514347,0.7440207105025132,1.613633715992022,3.13365768455304,
1989,2.152156472601377,1.838312484999896,2.674212379227373,2.604194525322535,2.393451880667491,1.919407280581772,2.762438100143483,1.79642102147548,2.381478050980053,3.389731164982671,2.273474980790276,1.47448025419882,0.971238421955403,1.916276561194248,3.130237671892077,1.768081772563849,0.2832264640474426,2.036984390071596,2.941722580645161,3.137748966939138,1.876415576376409,2.054991219634569,1.690710450253482,2.456430643664465,0.6605622754789302,1.408713174640584,1.949380452569874,3.448621409921671,2.834444240973941,1.05912,1.532244922797866,2.093291457286432,2.131984655623365,,0.757950054552067,3.012908898305085,0.8878986326718119,3.157649024566474,0.4344993581514762,1.277564826267851,2.439473437080979,0.6172040811371797,2.699177200902935,0.9435720952414676,0.4927717527462615,1.283797970479705,2.64227618919668,2.49691427029831,2.365301217159733,1.816855648220771,0.7549485569445245,2.684377630428095,0.5635533790401567,3.48664699409823,0.6829537597234225,,2.620416368168951,1.760991141413001,0.3295133733277661,1.724865819935722,1.424355987091483,0.6300699752199878,2.486015037893318,1.713827501197084,
1990,0.96054805401112,1.023713688253965,1.990908313446032,2.000418718706006,2.03231888524292,1.295463783381108,1.578657536002735,1.319839682948127,1.590498555006079,2.475295406002179,1.019450595487462,0.9489238410596027,0.36,1.127340457545684,2.120141781600566,1.527902436949772,0.4250127877237851,1.695023069824669,2.312970752843474,2.268677117685723,1.281021865288665,1.316997201904668,1.039435841590906,1.761851860803494,0.5672831234894651,0.5055411673753383,1.636040191399139,1.17,2.202099306646123,0.8291742700729927,0.97292228334232,1.02191844300278,1.837245851345698,,0.9053031596925705,2.494477611940299,0.543507659274656,2.662199370409234,0.4187378238341969,0.7944001750401134,1.958685041336118,0.4354661443481873,1.87132,0.2601664796633674,0.5415346883215582,0.5263048871736304,2.072009235470244,1.986079485981049,1.534248005772237,0.9162662145345106,0.4261017774531288,1.084415400958161,0.6906921381337252,2.397245657568238,0.1226831535886947,,2.20165043781654,0.8830701322553468,0.4230927564715574,0.7416357581132892,0.8848344281015141,0.3742607830970743,1.298688898398293,1.083202471447646,
1991,2.196466067628281,1.033694487747116,2.6194317582736,1.458288338116721,1.48852624764106,1.591741760205388,1.836314879798879,1.329942815878377,1.998372609021434,4.413266540256502,2.08091532060695,0.2905057586379569,1.354954954954955,2.04003747533413,3.408278719046733,0.9116254814309447,0.7716428571428571,2.339745583038869,1.6721743919229,3.346268996452642,1.579269363028245,1.12826416456153,1.615785300843593,3.27043845258095,0.8934937347492155,1.0262092347433,1.217065662076607,1.760096385542169,2.4986642182195,1.456392730146187,1.140657133720145,1.057957996768982,1.681469108630719,,1.254789408698038,1.031414235904414,0.9845760385472736,3.18198347107438,0.5742160461457787,0.8638245508427486,2.240191374714184,0.509967166263003,3.089737600781823,0.6391666773680575,0.5775034504640337,1.192020725388601,2.834951765969674,1.621548626282165,1.506802473626774,1.522885891503744,0.8334856352617379,1.191177850128542,0.5814965560425798,4.92744147552613,0.4223069082672706,,1.321043774248102,1.8,0.7112336414386824,1.775081096930768,0.9852706061893577,0.4928138110087205,1.999442999211205,1.664116476829413,
1992,0.2951277570206099,0.2789635706398006,1.173116092427037,0.2474972127234848,0.6913692750875736,0.2854464498023745,0.1779229273466502,0.2050679457012169,0.9571783307995774,1.723911598910443,0.1394347311686605,0.340097205346294,0.18,0.3138031360844213,1.466601210553066,0.5562473380439507,0.1776439790575916,0.27,1.050165865384615,1.773708873510051,0.2909297837034275,0.54,0.2203961763356445,1.548888057625125,0.3093801520175526,0.18,0.6915285379640307,0.9898590446358653,1.832350038500717,0.3644826254826255,0.3411981641280853,0.2742567567567568,0.824153501814468,,0.4335833496956607,0.3767825383993533,0.4502284007653304,2.587344891313914,0.2781258941344779,0.1079988635287432,1.993553163458371,0.1169652149110416,0.5908548082966688,0.08169967591675992,0.2386427436940975,0.08998258682403018,1.611876204306091,1.322901950188355,0.736448658960835,0.125021558619611,0.03191947113817428,0.7383185494742954,0.1906838153059594,1.363348079161816,0.02662204898139296,,0.5761070124377854,0.1440046296296296,0.2083897204875031,0.1565241593085923,0.2935361787232483,0.09928686835560127,0.231010086564383,0.2237076993432628,
