year,Chadiza,Chasefu,Chibombo,Chikankanta,Chilanga,Chipangali,Chipata,Chirundu,Chisamba,Chitambo,Choma,Chongwe,Gwembe,Itezhi tezhi,Kabwe,Kafue,Kalabo,Kalomo,Kaoma,Kapiri Mposhi,Kasenengwa,Katete,Kazungula,Lavushimanda,Limulunga,Livingstone,Luampa,Luangwa,Luano,Lukulu,Lumezi,Lundazi,Lusaka,Lusangazi,Mambwe,Mazabuka,Mitete,Mkushi,Mongu,Monze,Mpongwe,Mulobezi,Mumbwa,Mwandi,Nalolo,Namwala,Ngabwe,Nkeyema,Nyimba,Pemba,Petauke,Rufunsa,Senanga,Serenje,Sesheke,Shangombo,Shibuyunji,Siavonga,Sikongo,Sinazongwe,Sinda,Sioma,Vubwi,Zimba,Average
1994,640.2839965820312,1051.955322265625,1197.787475585938,469.8274841308594,694.2620849609375,887.5167846679688,466.9365539550781,528.3482055664062,974.9540405273438,847.092529296875,509.1775817871094,918.6068115234375,0.0,0.0,842.6512451171875,473.1070251464844,0.0,482.0391235351562,628.6119384765625,926.5513305664062,835.2303466796875,527.2235107421875,0.0,627.3287353515625,378.7427673339844,0.0,372.6641235351562,0.0,925.0426025390625,625.8360595703125,1139.006225585938,1181.876586914062,962.9015502929688,751.1454467773438,638.2594604492188,395.9005737304688,0.0,907.3648071289062,328.269775390625,524.7199096679688,521.9470825195312,0.0,318.9279174804688,0.0,0.0,0.0,1240.536010742188,468.6366577148438,504.3652038574219,408.7508544921875,734.3252563476562,929.0517578125,407.9657897949219,828.8555908203125,0.0,0.0,1021.788391113281,402.698486328125,0.0,342.6300659179688,750.3659057617188,510.1910400390625,854.9817504882812,506.71875,537.718101978302
1995,375.6255493164062,0.0,0.0,0.0,0.0,0.0,882.4512329101562,0.0,0.0,310.8197326660156,680.1771240234375,542.6869506835938,593.475830078125,404.5546264648438,0.0,577.6881713867188,131.1688995361328,510.4503173828125,501.0644836425781,525.8953247070312,0.0,265.8928527832031,0.0,567.855712890625,0.0,322.9109497070312,0.0,0.0,426.614013671875,438.5271911621094,0.0,0.0,0.0,663.4478759765625,0.0,0.0,318.1115417480469,468.3221130371094,0.0,471.8366088867188,377.4923400878906,0.0,415.1473083496094,323.6866760253906,0.0,0.0,344.5432434082031,505.5329284667969,325.8517150878906,606.1502685546875,564.7203369140625,0.0,310.9194946289062,332.4507751464844,366.7768249511719,0.0,0.0,0.0,176.0666046142578,0.0,706.832275390625,0.0,495.2536010742188,0.0,247.3593983650208
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.8879089355469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.1616821289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.7513427734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.7191467285156,0.0,0.0,26.7112512588501
1997,0.0,513.6808471679688,0.0,0.0,0.0,0.0,0.0,414.8396301269531,0.0,323.8559875488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.5883483886719,0.0,0.0,0.0,614.1008911132812,0.0,607.0249633789062,0.0,0.0,0.0,0.0,0.0,241.7460327148438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.21619844436646
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.9142761230469,0.0,327.4671936035156,0.0,0.0,0.0,0.0,0.0,295.5506286621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.3388977050781,0.0,0.0,0.0,0.0,345.1396179199219,0.0,0.0,268.7174987792969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.044189453125,0.0,0.0,0.0,0.0,0.0,35.39331722259521
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.688720703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.9966430664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.166958808898926
2000,0.0,730.1227416992188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0572814941406,0.0,0.0,0.0,0.0,472.1771240234375,0.0,0.0,0.0,0.0,240.0472412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.8800659179688,0.0,369.5443725585938,751.6884765625,0.0,0.0,0.0,0.0,0.0,297.8587646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.2123260498047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.04044365882874
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,680.7718505859375,0.0,603.5126342773438,411.7792053222656,0.0,762.3157348632812,0.0,222.0575561523438,0.0,431.4803771972656,0.0,385.6163024902344,0.0,0.0,811.4678344726562,781.1036987304688,479.1798400878906,318.4049377441406,443.1239624023438,372.5508728027344,461.3238220214844,0.0,727.0528564453125,787.1243286132812,465.248046875,578.6685180664062,563.6522827148438,921.95556640625,540.0462646484375,173.8830261230469,561.7800903320312,0.0,322.3934631347656,666.7247314453125,681.5521850585938,0.0,609.8780517578125,0.0,0.0,401.2269287109375,804.349609375,398.0872497558594,579.1265869140625,606.7429809570312,421.407470703125,428.8334045410156,603.2738037109375,0.0,0.0,799.0101318359375,546.9063110351562,209.9100952148438,0.0,501.0654296875,547.3654174804688,0.0,829.876220703125,0.0,327.4905090332031,445.7283325195312,0.0,590.9918823242188,371.9693813323975
2003,338.7402038574219,319.9327392578125,0.0,665.221923828125,0.0,265.2083129882812,0.0,468.6926574707031,0.0,0.0,0.0,291.7348937988281,510.1224670410156,0.0,0.0,670.962646484375,0.0,0.0,0.0,0.0,264.3634338378906,326.1245727539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.3430252075195,0.0,0.0,220.2396240234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.9142761230469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.9002990722656,0.0,329.0872802734375,0.0,0.0,0.0,0.0,85.00919306278229
2004,0.0,0.0,0.0,248.2872314453125,0.0,0.0,420.3090515136719,0.0,393.1275329589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.3347778320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6539306640625,0.0,0.0,0.0,228.397216796875,0.0,0.0,0.0,0.0,364.4371948242188,0.0,0.0,0.0,0.0,0.0,351.4388122558594,0.0,0.0,0.0,0.0,0.0,0.0,337.9216918945312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.10792875289917
2005,404.6251525878906,315.4705505371094,0.0,397.1632690429688,342.5220031738281,0.0,627.6275024414062,804.3682250976562,340.6078491210938,0.0,426.3662109375,0.0,0.0,312.79443359375,438.3245544433594,0.0,0.0,0.0,285.1381225585938,0.0,449.6628723144531,215.4358673095703,418.8630676269531,336.7607116699219,253.8941955566406,0.0,587.9177856445312,907.5225830078125,0.0,0.0,347.9913024902344,0.0,329.135009765625,521.9412231445312,253.8442840576172,0.0,295.3490905761719,0.0,429.1321716308594,0.0,370.1515197753906,738.6397094726562,426.5962829589844,552.01513671875,518.7359008789062,0.0,0.0,548.6057739257812,212.5295104980469,0.0,383.5100708007812,431.427734375,278.8575439453125,200.7020111083984,689.2616577148438,228.8823547363281,330.6620178222656,577.0376586914062,0.0,0.0,339.4654846191406,0.0,389.4903869628906,0.0,269.6723248958588
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,391.0875549316406,0.0,0.0,0.0,0.0,0.0,486.287109375,0.0,0.0,0.0,0.0,0.0,311.8908081054688,0.0,0.0,0.0,0.0,327.2383117675781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0633392333984,0.0,0.0,0.0,0.0,0.0,359.8787536621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.28821682929993
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0079650878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.7971801757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.45008039474487
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.2951965332031,0.0,0.0,0.0,0.0,0.0,379.8541564941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.7030639648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.9755554199219,0.0,0.0,0.0,0.0,0.0,0.0,430.9645080566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.51238250732422
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.8026733398438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.9691162109375,0.0,0.0,16.05893421173096
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.059326171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.766551971435547
2015,889.782470703125,778.6546020507812,614.5740966796875,429.4096374511719,472.5615539550781,762.2338256835938,513.0556030273438,474.4344787597656,477.6358642578125,926.0955810546875,0.0,852.730224609375,806.4071655273438,0.0,751.52587890625,857.5016479492188,0.0,0.0,0.0,810.0836181640625,885.3292846679688,895.6758422851562,381.7411499023438,637.7957763671875,0.0,343.6903381347656,349.1279907226562,466.8653869628906,861.9898681640625,0.0,787.1167602539062,987.8963623046875,468.2705993652344,771.7301025390625,844.604736328125,438.4007873535156,0.0,828.0427856445312,338.3760986328125,0.0,0.0,0.0,0.0,439.0496520996094,544.7933959960938,0.0,0.0,0.0,851.8258666992188,421.7986145019531,814.1929931640625,480.0437622070312,761.0178833007812,910.1889038085938,320.5049438476562,540.2252197265625,797.0430908203125,381.3338623046875,214.4185791015625,460.4547729492188,734.8294067382812,767.128662109375,0.0,511.8386535644531,478.9691934585571
2016,0.0,0.0,466.3838195800781,544.8411865234375,555.9638671875,0.0,0.0,0.0,0.0,0.0,551.2334594726562,0.0,795.82861328125,0.0,0.0,437.1524963378906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.6658020019531,0.0,0.0,0.0,0.0,0.0,0.0,252.354248046875,485.0932922363281,0.0,0.0,0.0,570.0932006835938,0.0,0.0,0.0,0.0,0.0,554.5504760742188,0.0,0.0,0.0,570.8211669921875,0.0,0.0,0.0,0.0,0.0,0.0,537.756591796875,624.1472778320312,0.0,582.4884033203125,0.0,0.0,0.0,0.0,123.5214672088623
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,466.3326416015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.8493347167969,0.0,357.9554443359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.5685729980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.964599609375,0.0,0.0,0.0,0.0,0.0,350.3468627929688,0.0,0.0,0.0,0.0,0.0,338.5747985839844,354.6080017089844,0.0,0.0,0.0,0.0,0.0,49.78437900543213
2019,0.0,0.0,521.0278930664062,456.2869262695312,414.2348937988281,0.0,0.0,469.8013000488281,0.0,0.0,1031.878784179688,303.33447265625,924.35986328125,1097.84814453125,0.0,370.6444091796875,1073.063110351562,1120.015991210938,781.9011840820312,245.1068420410156,0.0,0.0,1120.870239257812,0.0,1005.949523925781,1025.619750976562,966.96142578125,412.3619995117188,374.6455993652344,796.4227294921875,0.0,0.0,528.6691284179688,364.9391784667969,0.0,548.3655395507812,936.132080078125,207.3913726806641,1091.158813476562,868.35986328125,217.6748199462891,1154.755493164062,321.9381408691406,1127.037963867188,1376.897216796875,573.0147705078125,0.0,740.2417602539062,0.0,1226.492309570312,607.1824340820312,382.4434814453125,1773.878540039062,0.0,1526.337890625,1257.526000976562,811.7185668945312,855.9293823242188,1178.93603515625,755.0474853515625,0.0,1652.176025390625,0.0,1115.3046875,589.248188495636
2020,388.6839599609375,0.0,392.26953125,547.4832763671875,650.2052001953125,0.0,0.0,859.3223876953125,557.9862060546875,0.0,538.5606079101562,420.0656433105469,689.2606201171875,538.6939697265625,312.7058715820312,554.8911743164062,0.0,443.6792907714844,0.0,262.9244384765625,0.0,308.3074951171875,463.458740234375,0.0,274.8516540527344,438.6846923828125,441.8287048339844,440.1338195800781,333.8065795898438,0.0,0.0,0.0,313.6514587402344,270.1704406738281,0.0,660.8010864257812,0.0,0.0,327.4508972167969,792.078125,402.4324951171875,873.5255737304688,421.747802734375,854.70458984375,171.9915313720703,696.844482421875,541.07080078125,0.0,0.0,660.0296630859375,0.0,607.161865234375,465.1968078613281,0.0,727.9075317382812,0.0,309.6182556152344,849.9551391601562,0.0,331.0478515625,526.9656372070312,0.0,341.8993835449219,798.6649780273438,340.6675040721893
2021,0.0,0.0,0.0,0.0,0.0,330.0390930175781,527.2683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.2477416992188,0.0,703.0125732421875,0.0,31.08699655532837
AVE,108.7102934184827,114.9641318070261,122.0172408254523,98.90844565943668,110.515654714484,99.37129532663445,117.7715831555818,125.8453320954975,104.3363607306229,95.78249800832648,141.8655371414988,105.9337254574424,131.6866061561986,120.5450471576891,100.7963015907689,113.8367606715152,97.70850532933285,126.2762065686678,97.26065143785979,96.21715907046669,115.83361575478,94.37851795397307,122.3200065211246,103.1465992174651,99.54186048005757,110.8249158357319,107.0858106111225,129.5693785014905,108.2658819901316,129.3789696944387,114.482915376362,119.1013972633763,102.4376405414782,114.9879977577611,94.28230847810444,109.1129696494655,91.08439234683388,86.81801966616982,112.2504914936266,147.4254214638158,71.4127217342979,127.2616271972656,102.695830495734,123.8617320813631,118.3080781635485,122.5758249383224,104.5701912327817,99.45924538060238,105.9762661582545,134.2776834588302,113.2510247481497,118.3219813296669,138.3389442845395,88.3913389507093,135.3509690134149,113.1120750025699,125.7095441316304,115.0678132709704,104.5979859201532,107.8974448756168,116.3110447933799,133.4691732306229,109.6047347219367,133.1136932373047,112.5877408636244
